2022-02-04 18:54:03.8292 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-02-04 19:22:50.1703 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-02-04 19:26:03.2946 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-02-04 20:02:42.7773 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-02-04 20:03:52.5169 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-02-04 20:06:48.3469 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-02-04 20:18:54.3750 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-02-04 20:21:49.3718 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-02-04 23:55:09.6699 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
