2022-01-30 15:39:30.4145 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-30 15:41:31.9089 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-30 15:52:16.1352 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-30 16:51:20.4690 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-30 16:55:06.0036 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-30 16:56:33.2751 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-30 17:43:22.0131 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-30 17:43:37.0491 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-30 17:45:01.8202 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-30 17:45:46.6131 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-30 18:48:48.0043 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-30 21:43:42.9404 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
2022-01-30 21:50:32.8482 | TRACE | Bookstore.ViewModel.ViewModelBase | MainViewModel created | 
